date,ip,path,body,cookie,is_abnormal
2024-12-15 17:13:35.519356,127.0.0.1,,,,0.9979853630065918
2024-12-15 17:13:35.267313,127.0.0.1,,,,0.9979853630065918
2024-12-15 17:13:40.183405,127.0.0.1,favicon.ico,,,0.4912394881248474
2024-12-15 17:13:43.083404,127.0.0.1,get.php,,,0.49285900592803955
2024-12-15 17:13:44.226352,127.0.0.1,favicon.ico,,,0.4912394881248474
2024-12-15 17:13:45.934882,127.0.0.1,get.php?input=%3Cscript%3Ealert%281%29%3C%2Fscript%3E,,,0.9979662895202637
2024-12-15 17:13:48.284490,127.0.0.1,favicon.ico,,,0.4912394881248474
2024-12-15 17:13:50.716211,127.0.0.1,,,,0.9979853630065918
2024-12-15 17:13:52.263676,127.0.0.1,favicon.ico,,,0.4912394881248474
2024-12-15 17:13:53.326294,127.0.0.1,post.php,,,0.5010736584663391
2024-12-15 17:13:54.782801,127.0.0.1,favicon.ico,,,0.4912394881248474
2024-12-15 17:13:55.877364,127.0.0.1,post.php,input=%3Cscript%3Ealert%281%29%3C%2Fscript%3E,,0.5010736584663391
2024-12-15 17:13:58.209917,127.0.0.1,favicon.ico,,,0.4912394881248474
2024-12-15 17:13:59.930774,127.0.0.1,,,,0.9979853630065918
2024-12-15 17:14:01.453777,127.0.0.1,favicon.ico,,,0.4912394881248474
2024-12-15 17:14:02.351708,127.0.0.1,xxe.php,,,0.4923149645328522
2024-12-15 17:14:04.044287,127.0.0.1,favicon.ico,,,0.4912394881248474
2024-12-15 17:14:05.726457,127.0.0.1,favicon.ico,,,0.4912394881248474
2024-12-15 17:14:06.748071,127.0.0.1,sqli.php,,,0.49217689037323
2024-12-15 17:14:09.391779,127.0.0.1,favicon.ico,,,0.4912394881248474
2024-12-15 17:14:10.573333,127.0.0.1,sqli.php?input=%27or+1%3D1%3B--,,,0.9980121850967407
2024-12-15 17:14:12.023000,127.0.0.1,favicon.ico,,,0.4912394881248474
