{'date': '2024-12-15 17:13:35.519356', 'ip': '127.0.0.1', 'path': '', 'body': '', 'cookie': '', 'is_abnormal': 0.9979853630065918}
{'date': '2024-12-15 17:13:35.267313', 'ip': '127.0.0.1', 'path': '', 'body': '', 'cookie': '', 'is_abnormal': 0.9979853630065918}
{'date': '2024-12-15 17:13:40.183405', 'ip': '127.0.0.1', 'path': 'favicon.ico', 'body': '', 'cookie': '', 'is_abnormal': 0.4912394881248474}
{'date': '2024-12-15 17:13:43.083404', 'ip': '127.0.0.1', 'path': 'get.php', 'body': '', 'cookie': '', 'is_abnormal': 0.49285900592803955}
{'date': '2024-12-15 17:13:44.226352', 'ip': '127.0.0.1', 'path': 'favicon.ico', 'body': '', 'cookie': '', 'is_abnormal': 0.4912394881248474}
{'date': '2024-12-15 17:13:45.934882', 'ip': '127.0.0.1', 'path': 'get.php?input=%3Cscript%3Ealert%281%29%3C%2Fscript%3E', 'body': '', 'cookie': '', 'is_abnormal': 0.9979662895202637}
{'date': '2024-12-15 17:13:48.284490', 'ip': '127.0.0.1', 'path': 'favicon.ico', 'body': '', 'cookie': '', 'is_abnormal': 0.4912394881248474}
{'date': '2024-12-15 17:13:50.716211', 'ip': '127.0.0.1', 'path': '', 'body': '', 'cookie': '', 'is_abnormal': 0.9979853630065918}
{'date': '2024-12-15 17:13:52.263676', 'ip': '127.0.0.1', 'path': 'favicon.ico', 'body': '', 'cookie': '', 'is_abnormal': 0.4912394881248474}
{'date': '2024-12-15 17:13:53.326294', 'ip': '127.0.0.1', 'path': 'post.php', 'body': '', 'cookie': '', 'is_abnormal': 0.5010736584663391}
{'date': '2024-12-15 17:13:54.782801', 'ip': '127.0.0.1', 'path': 'favicon.ico', 'body': '', 'cookie': '', 'is_abnormal': 0.4912394881248474}
{'date': '2024-12-15 17:13:55.877364', 'ip': '127.0.0.1', 'path': 'post.php', 'body': 'input=%3Cscript%3Ealert%281%29%3C%2Fscript%3E', 'cookie': '', 'is_abnormal': 0.5010736584663391}
{'date': '2024-12-15 17:13:58.209917', 'ip': '127.0.0.1', 'path': 'favicon.ico', 'body': '', 'cookie': '', 'is_abnormal': 0.4912394881248474}
{'date': '2024-12-15 17:13:59.930774', 'ip': '127.0.0.1', 'path': '', 'body': '', 'cookie': '', 'is_abnormal': 0.9979853630065918}
{'date': '2024-12-15 17:14:01.453777', 'ip': '127.0.0.1', 'path': 'favicon.ico', 'body': '', 'cookie': '', 'is_abnormal': 0.4912394881248474}
{'date': '2024-12-15 17:14:02.351708', 'ip': '127.0.0.1', 'path': 'xxe.php', 'body': '', 'cookie': '', 'is_abnormal': 0.4923149645328522}
{'date': '2024-12-15 17:14:04.044287', 'ip': '127.0.0.1', 'path': 'favicon.ico', 'body': '', 'cookie': '', 'is_abnormal': 0.4912394881248474}
{'date': '2024-12-15 17:14:05.726457', 'ip': '127.0.0.1', 'path': 'favicon.ico', 'body': '', 'cookie': '', 'is_abnormal': 0.4912394881248474}
{'date': '2024-12-15 17:14:06.748071', 'ip': '127.0.0.1', 'path': 'sqli.php', 'body': '', 'cookie': '', 'is_abnormal': 0.49217689037323}
{'date': '2024-12-15 17:14:09.391779', 'ip': '127.0.0.1', 'path': 'favicon.ico', 'body': '', 'cookie': '', 'is_abnormal': 0.4912394881248474}
{'date': '2024-12-15 17:14:10.573333', 'ip': '127.0.0.1', 'path': 'sqli.php?input=%27or+1%3D1%3B--', 'body': '', 'cookie': '', 'is_abnormal': 0.9980121850967407}
{'date': '2024-12-15 17:14:12.023000', 'ip': '127.0.0.1', 'path': 'favicon.ico', 'body': '', 'cookie': '', 'is_abnormal': 0.4912394881248474}
